Easting,Northing
501600,184700
501600,184800
501600,184900
501600,185000
501600,185100
501600,185200
501600,185300
501600,185400
501600,185500
501600,185600
501600,185700
501600,185800
501600,185900
501600,186000
501600,186100
501600,186200
501600,186300
501600,186400
501600,186500
501600,186600
501600,186700
501600,186800
501600,186900
501600,187000
501600,187100
501600,187200
501600,187300
501600,187400
501600,187500
501600,187600
501600,187700
501600,187800
501600,187900
501600,188000
501600,188100
501600,188200
501600,188300
501600,188400
501600,188500
501600,188600
501600,188700
501600,188800
501600,188900
501600,189000
501600,189100
501600,189200
501600,189300
501600,189400
501600,189500
501600,189600
501600,189700
501600,189800
501600,189900
501600,190000
501700,180100
501700,180200
501700,180300
501700,180400
501700,180500
501700,180600
501700,180700
501700,180800
501700,180900
501700,181000
501700,181100
501700,181200
501700,181300
501700,181400
501700,181500
501700,181600
501700,181700
501700,181800
501700,181900
501700,182000
501700,182100
501700,182200
501700,182300
501700,182400
501700,182500
501700,182600
501700,182700
501700,182800
501700,182900
501700,183000
501700,183100
501700,183200
501700,183300
501700,183400
501700,183500
501700,183600
501700,183700
501700,183800
501700,183900
501700,184000
501700,184100
501700,184200
501700,184300
501700,184400
501700,184500
501700,184600
501700,184700
501700,184800
501700,184900
501700,185000
501700,185100
501700,185200
501700,185300
501700,185400
501700,185500
501700,185600
501700,185700
501700,185800
501700,185900
501700,186000
501700,186100
501700,186200
501700,186300
501700,186400
501700,186500
501700,186600
501700,186700
501700,186800
501700,186900
501700,187000
501700,187100
501700,187200
501700,187300
501700,187400
501700,187500
501700,187600
501700,187700
501700,187800
501700,187900
501700,188000
501700,188100
501700,188200
501700,188300
501700,188400
501700,188500
501700,188600
501700,188700
501700,188800
501700,188900
501700,189000
501700,189100
501700,189200
501700,189300
501700,189400
501700,189500
501700,189600
501700,189700
501700,189800
501700,189900
501700,190000
501800,180100
501800,180200
501800,180300
501800,180400
501800,180500
501800,180600
501800,180700
501800,180800
501800,180900
501800,181000
501800,181100
501800,181200
501800,181300
501800,181400
501800,181500
501800,181600
501800,181700
501800,181800
501800,181900
501800,182000
501800,182100
501800,182200
501800,182300
501800,182400
501800,182500
501800,182600
501800,182700
501800,182800
501800,182900
501800,183000
501800,183100
501800,183200
501800,183300
501800,183400
501800,183500
501800,183600
501800,183700
501800,183800
501800,183900
501800,184000
501800,184100
501800,184200
501800,184300
501800,184400
501800,184500
501800,184600
501800,184700
501800,184800
501800,184900
501800,185000
501800,185100
501800,185200
501800,185300
501800,185400
501800,185500
501800,185600
501800,185700
501800,185800
501800,185900
501800,186000
501800,186100
501800,186200
501800,186300
501800,186400
501800,186500
501800,186600
501800,186700
501800,186800
501800,186900
501800,187000
501800,187100
501800,187200
501800,187300
501800,187400
501800,187500
501800,187600
501800,187700
501800,187800
501800,187900
501800,188000
501800,188100
501800,188200
501800,188300
501800,188400
501800,188500
501800,188600
501800,188700
501800,188800
501800,188900
501800,189000
501800,189100
501800,189200
501800,189300
501800,189400
501800,189500
501800,189600
501800,189700
501800,189800
501800,189900
