LRUniqueID,SalePrice,SaleDate,PCUnit,PropertyType,NewBuild,Freehold,Add1,Add2,Add3,Easting,Northing
{47844C7F-5683-8986-E050-A8C063056488},480000,12/01/2017,UB10 9AL,S,N,F,31,,REGENT AVENUE,507803,184235
{47844C7F-54AD-8986-E050-A8C063056488},435000,16/12/2016,UB8 3UP,D,N,F,5,,BARWICK DRIVE,507789,181790
{47844C7F-55C7-8986-E050-A8C063056488},677500,16/12/2016,HA4 7GL,S,N,F,53,,MILL DRIVE,508783,187703
{47844C7F-55C9-8986-E050-A8C063056488},200000,13/12/2016,UB10 8UQ,F,N,L,175,,AYLSHAM DRIVE,508633,186602
{47844C80-15B8-8986-E050-A8C063056488},238000,22/12/2016,UB8 3UH,F,N,L,23,,CLARKES DRIVE,506466,181564
{79A74E21-28BF-1289-E053-6B04A8C01627},375000,11/10/2018,SL0 9RN,T,N,F,36,,MANSION LANE,502452,180877
{79A74E21-2CB7-1289-E053-6B04A8C01627},535000,14/09/2018,UB9 5JD,D,N,F,56,,TILEHOUSE WAY,503533,187880
{75050A84-BD72-9A88-E053-6B04A8C02390},805000,18/07/2018,UB9 5AB,D,N,F,LANESIDE,,CHEAPSIDE LANE,503904,186609
{75050A84-BFA6-9A88-E053-6B04A8C02390},700000,03/08/2018,UB9 5JF,D,N,F,19,,ASHCROFT DRIVE,503769,187970
{75050A84-A772-9A88-E053-6B04A8C02390},230000,29/06/2018,UB8 2TX,F,N,L,30A,,NEW WINDSOR STREET,505238,183943
{75050A84-A66E-9A88-E053-6B04A8C02390},1030000,10/08/2018,HA4 8EZ,D,N,F,4,,NORTH DRIVE,509349,187574
{75050A84-A98C-9A88-E053-6B04A8C02390},388995,24/11/2017,UB10 0GN,F,N,L,"GLADIATOR HOUSE, 1",FLAT 13,TANGMERE CRESCENT,506235,183646
{75050A84-A98F-9A88-E053-6B04A8C02390},476995,30/11/2017,UB10 0GN,F,N,L,"GLADIATOR HOUSE, 1",FLAT 10,TANGMERE CRESCENT,506235,183646
{85866A64-5C8B-143F-E053-6B04A8C06A15},255000,23/01/2019,UB8 2JU,F,N,L,17,,CURRAN CLOSE,505205,182222
{85866A64-5C82-143F-E053-6B04A8C06A15},230000,15/03/2019,UB8 2JU,T,N,L,14,,CURRAN CLOSE,505205,182222
{85866A64-6F77-143F-E053-6B04A8C06A15},475000,15/03/2019,SL0 9PN,D,N,F,91,,HIGH STREET,503417,181222
{85866A64-6E96-143F-E053-6B04A8C06A15},365000,22/02/2019,SL0 9RN,T,N,L,38,,MANSION LANE,502452,180877
{85866A64-7007-143F-E053-6B04A8C06A15},385000,15/03/2019,UB9 4EG,S,N,F,25,,KNIGHTON WAY LANE,504672,185055
{87E1551E-67CB-6405-E053-6C04A8C0B2EE},163000,20/03/2019,UB8 2QH,F,N,L,"NIJINSKY HOUSE, 10",FLAT 7,CHILTERN VIEW ROAD,505480,183235
{87E1551E-67D9-6405-E053-6C04A8C0B2EE},470000,29/03/2019,UB10 0HR,S,N,F,6,,HARVEY ROAD,507352,183401
{87E1551E-67D1-6405-E053-6C04A8C0B2EE},249350,12/04/2019,UB3 2QD,T,N,F,60,,TUDOR ROAD,508661,181397
{87E1551E-67B7-6405-E053-6C04A8C0B2EE},497500,01/03/2019,HA4 7TT,S,N,F,31,,RESERVOIR ROAD,508552,189103
{87E1551E-67D8-6405-E053-6C04A8C0B2EE},406000,29/03/2019,UB7 8DQ,S,N,F,60,,PEAR TREE AVENUE,506638,181371
{5CF9903B-7680-7F13-E053-6C04A8C074B1},332500,16/10/2017,UB8 2LA,T,N,F,6,,HERITAGE CLOSE,505304,182382
{726BF13B-0A71-0A46-E053-6C04A8C01D0D},285000,13/07/2018,UB3 2QD,T,N,F,56,,TUDOR ROAD,508661,181397
{726BF13A-6BA5-0A46-E053-6C04A8C01D0D},475000,13/06/2018,UB9 4EF,S,N,F,14,,COURTFIELD GARDENS,504132,186292
{726BF13A-56B9-0A46-E053-6C04A8C01D0D},450995,24/11/2017,UB10 0GN,F,N,L,"GLADIATOR HOUSE, 1",FLAT 9,TANGMERE CRESCENT,506235,183646
{726BF13B-08CE-0A46-E053-6C04A8C01D0D},720000,11/07/2018,HA4 7NR,D,N,F,28,,MARLBOROUGH AVENUE,508425,188110
{8355F009-3E85-55C5-E053-6B04A8C0D090},418000,12/02/2019,UB3 2QD,T,N,F,42,,TUDOR ROAD,508661,181397
{8355F009-3EAA-55C5-E053-6B04A8C0D090},380000,13/02/2019,UB10 9DE,S,N,F,196,,RYEFIELD AVENUE,508450,183767
{8355F009-3ECF-55C5-E053-6B04A8C0D090},312000,31/01/2019,UB8 3QA,F,N,L,9,,ROSEMARY CLOSE,507127,181535
{9DBAD221-6011-6EB3-E053-6B04A8C0F257},375000,06/01/2020,SL0 0HX,S,N,F,14,,MARTINDALE,502547,182061
